edge_id start_id end_id l2_distance
0 11 0 1.0
1 11 22 1.0
2 11 12 1.0
3 13 2 1.0
4 13 24 1.0
5 13 12 1.0
6 13 14 1.0
7 15 4 1.0
8 15 26 1.0
9 15 14 1.0
10 15 16 1.0
11 17 16 1.0
12 17 6 1.0
13 17 28 1.0
14 17 18 1.0
15 19 18 1.0
16 19 8 1.0
17 19 30 1.0
18 19 20 1.0
19 21 20 1.0
20 21 10 1.0
21 21 32 1.0
22 1 0 1.0
23 1 12 1.0
24 1 2 1.0
25 3 2 1.0
26 3 4 1.0
27 3 14 1.0
28 5 4 1.0
29 5 6 1.0
30 5 16 1.0
31 7 6 1.0
32 7 8 1.0
33 7 18 1.0
34 9 8 1.0
35 9 10 1.0
36 9 20 1.0
37 23 22 1.0
38 23 12 1.0
39 23 24 1.0
40 25 24 1.0
41 25 14 1.0
42 25 26 1.0
43 27 26 1.0
44 27 16 1.0
45 27 28 1.0
46 29 28 1.0
47 29 18 1.0
48 29 30 1.0
49 31 30 1.0
50 31 20 1.0
51 31 32 1.0
